serial,sample id,material type,SA,TPV,MPV,C,H,N,O,T,P,CO2,ref
1,HNM-1,Microporous,976,1.07,,40.18,4.46,42.16,5.25,0,1,4.295,1
2,HNM-1,Microporous,976,1.07,,40.18,4.46,42.16,5.25,25,1,2.795,1
3,HNM-2,Microporous,807, ,,,,,,0,1,3,1
4,HNM-3,Microporous,513,,,,,,,0,1,2.159,1
5,CHNM-1M,Hierarchical,870,0.83,,64.38,4.17,9.79,,0,1,3.363,2
6,CHNM-1M,Hierarchical,870,0.83,,64.38,4.17,9.79,,25,1,2.25,2
7,CHNM-2M,Hierarchical,639,0.52,,62.49,4,9.05,,0,1,2.977,2
8,CHNM-2M,Hierarchical,639,0.52,,62.49,4,9.05,,25,1,1.522,2
9,CHNM-3M,Hierarchical,548,0.5,,60.61,3.9,8.79,,0,1,2.204,2
10,CHNM-3M,Hierarchical,548,0.5,,60.61,3.9,8.79,,25,1,1.023,2
11,NETPMO-0,Mesoporous,232,0.55,,29.08,6.22,16.57,,0,1,2.318,3
12,NETPMO-0,Mesoporous,232,0.55,,29.08,6.22,16.57,,25,1,1.136,3
13,NETPMO-2,Mesoporous,339,0.47,,19.07,5.66,11.13,,0,1,1.84,3
14,NETPMO-2,Mesoporous,339,0.47,,19.07,5.66,11.13,,25,1,0.977,3
15,NETPMO-4,Mesoporous,625,0.31,,13.14,6.16,7.34,,0,1,1.878,3
16,NETPMO-4,Mesoporous,625,0.31,,13.14,6.16,7.34,,25,1,0.93,3
17,NETPMO-6,Mesoporous,1085,0.62,,11.6,5.82,6.14,,0,1,2.114,3
18,NETPMO-6,Mesoporous,1085,0.62,,11.6,5.82,6.14,,25,1,1.068,3
19,NETPMO-8,Mesoporous,1304,0.78,,9.48,5.57,4.95,,0,1,2.636,3
20,NETPMO-8,Mesoporous,1304,0.78,,9.48,5.57,4.95,,25,1,1.318,3
21,NETPMO-10,Mesoporous,1131,1.02,,8.48,4.72,4.48,,0,1,2.295,3
22,NETPMO-10,Mesoporous,1131,1.02,,8.48,4.72,4.48,,25,1,1.023,3
23,CHNM-1,Hierarchical,1328,1.3,,62.79,3.91,10.27,,0,1,5.182,4
24,CHNM-1,Hierarchical,1328,1.3,,62.79,3.91,10.27,,25,1,3.204,4
25,CHNM-2,Hierarchical,1070,0.67,,63.37,3.78,8.96,,0,1,4.159,4
26,CHNM-2,Hierarchical,1070,0.67,,63.37,3.78,8.96,,25,1,2.386,4
27,CHNM-3,Hierarchical,960,0.67,,62.12,3.77,8.74,,0,1,3.727,4
28,CHNM-3,Hierarchical,960,0.67,,62.12,3.77,8.74,,25,1,2.023,4
29,PECONF-1,Macroporous,499,0.29,,,,,,0,1,1.86,5
30,PECONF-1,Macroporous,499,0.29,,,,,,25,1,1.34,5
31,PECONF-2,Macroporous,637,0.348,,,,,,0,1,2.85,5
32,PECONF-2,Macroporous,637,0.348,,,,,,25,1,1.98,5
33,PECONF-3,Macroporous,851,0.434,,,,,,0,1,3.49,5
34,PECONF-4,Macroporous,851,0.43,,,,,,25,1,2.47,5
35,MWCNTs-APTES-ZnO-A,Mesoporous,23.6,,,,,,,0,1,1.18,6
36,MWCNTs-APTES-ZnO-A,Mesoporous,23.6,,,,,,,25,1,0.62,6
37,MWCNTs-APTES-ZnO-B,Mesoporous,27.3,,,,,,,0,1,1.32,6
38,MWCNTs-APTES-ZnO-B,Mesoporous,27.3,,,,,,,25,1,0.74,6
39,NOHM,,,,,,,,,25,1,0.1,7
40,PL-0.25,Mesoporous,360,0.76,,,,,,25,1,0.19,8
41,PL-0.50,Mesoporous,230,0.44,,,,,,25,1,0.56,8
42,PL-0.75,Mesoporous,240,0.44,,,,,,25,1,0.6,8
43,CNF-1,Microporous,1730,0.78,,72.4,2.03,13.3,,0,0.15,1.67,9
44,CNF-1,Microporous,1730,0.78,,72.4,2.03,13.3,,0,1,5.74,9
45,CNF-1,Microporous,1730,0.78,,72.4,2.03,13.3,,25,0.15,0.86,9
46,CNF-1,Microporous,1730,0.78,,72.4,2.03,13.3,,25,1,3.35,9
47,CNF-2,Microporous,1580,0.7,,72.7,2.31,12.8,,0,0.15,1.6,9
48,CNF-2,Microporous,1580,0.7,,72.7,2.31,12.8,,0,1,5.17,9
49,CNF-2,Microporous,1580,0.7,,72.7,2.31,12.8,,25,0.15,0.85,9
50,CNF-2,Microporous,1580,0.7,,72.7,2.31,12.8,,25,1,3.05,9
51,HC-180-4-1,Hierarchical,417,0.39,,52.63,6.02,18.93,18.24,0,1,5.88,10
52,HC-180-4-1,Hierarchical,417,0.39,,52.63,6.02,18.93,18.2,25,1,3.99,10
53,AC-180-4-1,Microporous,937,0.57,,62.99,3.01,12.51,17.49,0,1,8.43,10
54,AC-180-4-1,Microporous,937,0.57,,62.99,3.01,12.51,17.49,25,1,6.51,10
55,CNB37,Microporous,725,1.99,,79.9,,9.5,10.1,0,1,4.32,11
56,CNB37,Microporous,725,1.99,,79.9,,9.5,10.1,25,1,3.7,11
57,CNB37,Microporous,725,1.99,,79.9,,9.5,10.1,25,0.1,1.17,11
58,K-CNB37,Hierarchical,1340,1.27,,74.6,,10.1,10,0,1,7.44,11
59,K-CNB37,Hierarchical,1340,1.27,,74.6,,10.1,10,25,1,4.75,11
60,K-CNB37,Hierarchical,1340,1.27,,74.6,,10.1,10,25,0.1,1.23,11
61,WSM,Microporous,5,0.03,,69.46,1.54,16.61,,0,1,1.25,12
62,WSM,Microporous,5,0.03,,69.46,1.54,16.61,,25,1,1.02,12
63,WSM-500-1,Microporous,759,0.36,,78.36,2.35,8.48,,0,1,4.21,12
64,WSM-500-1,Microporous,759,0.36,,78.36,2.35,8.48,,25,1,3.51,12
65,G-2.3-2,Microporous,1520,0.92,,73.5,,15.4,9.6,25,1,2.1,13
66,G-3.6-3,Microporous,870,0.59,,65.4,,20.6,11.9,25,1,1.5,13
67,CS-600-0.5,Microporous,192,0.09,,72.9,3.1,7.5,12,25,1,2.29,14
